Question,Q.Image
What do these motorway signs mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/399.Q.png
Where are amber reflective studs found on a motorway?,
What colour are the reflective studs between the lanes on a motorway?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/401.Q.png
What colour are the reflective studs between a motorway and a slip road?,
Your vehicle has broken down on a motorway. In which direction should you walk to find the nearest emergency telephone?,
Why is it important to make full use of the slip road as you join a motorway?,
How should you position yourself when you use the emergency telephone on a motorway?,
What colour are the reflective studs between the hard shoulder and the left-hane lane of a motorway?,
"On a three-lane motorway, which lane shoulde you use if there's no traffic ahead?",
What should you do when going through a contraflow system on a motorway?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/408.Q.png
You're on a three-lane motorway. Which lane are you in if there are red reflective studs on your left and white ones to your right?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/409.Q.png
What should you do when you're approaching roadwork on a motorway?,
Which vehicle are prohibited from using the motorway?,
What should you do while you're driving or riding alone a motorway?,
What should you do immediately after joining a motorway?,
When would you use the right-hand lane on a three-lane motorway?,
You're on a motorway that isn't subject to smart motorway regulations. When should you use the hard shoulder?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/415.Q.png
You're in the right-hand lane of a three-lane motorway. What do these overhead signs mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/416.Q.png
When are you allowed to stop on a motorway?,
You're travelling in the left-hand lane of a three-lane motorway. How should you react to traffic joining from a slip road?,
How should you use the lanes on a motorway?,
You're travelling along a motorway. When are you allowed to overtake on the left?,
When would you use an emergency refuge area on a smart motorway?,
Traffic officers operate on motorways and some primary routes in England and Wales. What are they authorised to do?,
You're on a smart motorway. What does it mean when a red cross is displayed above the hard shoulder?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/423.Q.png
You have stopped in an emergency refuge area. What must yo do before you rejoin the carriageway?,
How should you rejoin the motorway after a breakdown on the hard shoulder?,
You're on a smart motorway. What does it mean when a mandatory speed limit is displayed above the hard shoulder?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/426.Q.png
How do smart motorways prevent traffic bunching?,
What helps to reduce traffic bunching on a motorway?,
When may you stop on a motorway?,
What's the national speed limit for a car or motorcycle on a motorway?,
You stop on the hard shoulder of a motorway and use the emergency telephong. Where's the best place to wait for help to arrive?,
You're on a motorway. What must you do if there's a red cross showing above every lane?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/432.Q.png
You're on a smart motorway. What does it mean if a red cross is showing above the hard shoulder and mandatory speed limits above all other lanes?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/433.Q.png
"On a smart motorway, what does this sign mean?",https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/434.Q.png
Where should you stop to rest if you feel tired while you're travelling along a motorway?,
What's the speed limit for a car towing a trailer on a motorway?,
When should you use the left-hand lane of a motorway?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/437.Q.png
You're driving on a motorway and have to slow down suddenly due to a hazard ahead. How can you warn drivers behind of the hazard?,
Your car gets a puncture while you're driving on the motorway. What should you do when you've stopped on the hard shoulder?,
What should you do if you're driving on a motorway and you miss the exit that you wanted to take?,
Your vehicle has broken down on a motorway. What should you do if you aren't able to get onto the hard shoulder?,
Why is it particularly important to check your vehicle before making a long motorway journey?,
You're driving on a motorway. What does it mean if the car in front shows its hazard warning lights for a short time?,
You're driving on the motorway. Which lane should you get into well before you reach your exit?,
What restrictions apply to people who have a provisional driving licence?,
Your vehicle breaks down on a motorway and you manage to stop on the hard shoulder. What should you do if you use your mobile phone to call for help?,
You're towing a trailer along a three-lane motorway. When may you use the right-hand lane?,
What would you expect to find at a contraflow system on a motorway?,
What's the meaning of this sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/449.Q.png
What's the national speed limit for cars and motorcycles on a dual carriageway?,
There are no speed-limit signs on the road. How is a 30 mph limit generally indicated?,
What will the speed limit usually be where you can see street lights but no speed-limit signs?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/453.Q.png
What should you do if you want to overtake a tractor but aren't sure that it's safe?,
Which vehicle is most likely to take an unusual course at a roundabout?,
When may you stop on a clearway?,
What's the meaning of this sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/457.Q.png
You're looking for somewhere to park at night. When may you park on the right-hand side of the road?,
When should you use the right-hand lane of a three-lane dual carriageway?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/459.Q.png
"You're approaching a busy junction. What should you do when, at the last moment, you realise you're in the wrong lane?",
Where may you overtake on a one-way street?,
What signal should you give when you're going straight ahead at a roundabout?,
Which vehicle might have to take a different course from normal at a roundabout?,
When may you enter a box junction?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/464.Q.png
When may you stop and wait in a box junction?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/465.Q.png
Who is authorised to signal you to stop?,
What should you do if you see a pedestrian waiting at a zebra crossing?,
Which road users benefit from toucan crossing?,
You're waiting at a pelican crossing. What does it mean when the red light changes to flashing amber?,
You see these double white lines along the centre of the road. When may you park on the left,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/470.Q.png
You’re turning right at a crossroads. An oncoming driver is also turning right. What's the advantage of turning behind the oncoming vehicle?,
You're travelling along a residential street. There are parked vehicles on the left-hand side. Why should you keep your speed down?,
What should you do when there's an obstruction on your side of the road?,
When would you use the right-hand lane of a two-lane dual carriageway?,
Who has priority at an unmarked crossroad?,
What's the nearest you may park to a junction?,
You’re looking for somewhere to safely park your vehicle. Where would you choose to park?,
You're waiting at a level crossing. What must you do if a train passes but the lights keep flashing?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/479.Q.png
What must you do if you come across roadworks that have a temporary speed limit displayed?,
You're in a built-up area at night and the road is well lit. Why should you use dipped headlights?,
You're turning right from a main road into a side road. There's no oncoming traffic. What should you do if pedestrians are standing on the pavement waiting to cross the side road?,
What's the national speed limit on a single carriageway road for cars and motorcycles?,
What should you do when you park at night on a road that has a 40 mph speed limit?,
Where will you see these red and white markers?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/485.Q.png
You're travelling on a motorway in England. When must you stop your vehicle?,
How should you signal if you're going straight ahead at a roundabout?,
When may you frive over a pavement?,
A single carriageway road has this sign. What's the maximum permitted speed for a car towing a trailer?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/489.Q.png
What’s the speed limit for a car towing a caravan on a dual carriageway?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/490.Q.png
You want to park and you see this sign. What should you do on the days and times shown?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/491.Q.png
"A cycle lane, marked by a solid white line, is in operation. What does this mean for car drivers?",https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/492.Q.png
You're going to turn left from a main road into a minor road. What should you do as you approach the junction?,
You're waiting at a level crossing. What should you do if the red warning lights continue to flash after a train has passed by?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/494.Q.png
What should you do if the amber lights come on and a warning sounds while you're driving over a level crossing?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/495.Q.png
You're driving on a busy main road. What should you do if you find that you're driving in the wrong direction?,
When may you drive without wearing your seat belt?,
How far are you allowed to reverse?,
What should you do when you're unsure whether it's safe to reverse your vehicle?,
Why could it be dangerous to reverse from a side road into a main road?,
You want to turn right at a box junction. What should you do if there's oncoming traffic?,
You're reversing into a side road. When would your vehicle be the greatest hazard to passing traffic?,
Where's the safetest place to park your vehicle at night?,
When may you stop on an urban clearway?,
You're looking for somewhere to park your vehicle. What should you do if the only free spaces are marked for disabled drivers?,
You're on a road that's only wide enough for one vehicle. What should you do if a car is coming towards you?,
You're driving at night with your headlights on main beam. A vehicle is overtaking you. When should you dip your headlights?,
When may you drive a car in this bus lane?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/508.Q.png
"Other than direction indicators, how can you give signals to other road users?",
You're parked in a busy high street. What's the safest way yo trun your vehicle around so you can drive in the opposite direction?,
Where should you park your vehicle at night?,
You're driving in the right-hand lane of a dual carriageway. What should you do if you see a sign showing that the right-hand lane is closed 800 yards ahead?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/512.Q.png
You're driving on a road that has a cycle lane. What does it mean if the lane is marked by a broken white line?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/513.Q.png
When are you allowed to park in a parking bay for disabled drivers?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/514.Q.png
When mus you stop your vehicle?,
How can you identify traffic signs that give orders?,
What shape are traffic signs giving orders?,
Which type of sign tells you what you must not do?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/519.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/520.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/521.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/522.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/523.Q.png
Which sign means 'no entry'?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/525.Q.png
Which type of vehicle does this sign apply to?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/526.Q.png
Which sign means no motor vehicles allowed?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/528.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/529.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/530.Q.png
Which sign means 'no stopping'?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/532.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/533.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/534.Q.png
What does this traffic sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/535.Q.png
What's the meaning of this traffic sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/536.Q.png
What shape is a 'stop' sign?,
"In winter, road signs can become covered by snow. What does this sign mean?",https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/538.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/539.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/540.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/541.Q.png
What messages are given by circular traffic signs that have a blue background?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/542.Q.png
Where would you see a contraflow bus lane?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/543.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/544.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/545.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/546.Q.png
What's the purpose of triangular shaped signs?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/547.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/548.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/549.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/550.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/551.Q.png
What information would be shown in a triangular road sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/552.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/553.Q.png
Which sign means that pedestrians may be walking along the road?,
Which sign means there's a double bend ahead?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/556.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/557.Q.png
Which sign means the end of a dual carriageway?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/559.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/560.Q.png
What does this traffic sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/561.Q.png
You're about to overtake. What should you do when you see this sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/562.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/563.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/564.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/565.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/566.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/567.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/568.Q.png
Which is the sign for a ring road?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/570.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/571.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/572.Q.png
What does a red traffic light mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/573.Q.png
"At traffic lights, what does it mean when the amber light shows on its own?",https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/574.Q.png
You're a junction controlled by traffic lights. When should you wait at a green light?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/575.Q.png
"You're in the left-hand lane at traffic lights, waiting to turn left. Which signal means you must wait?",
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/577.Q.png
Who has priority when traffic lights are out of order?,
Where would you find thses flashing red light signals?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/579.Q.png
What do these zigzag white lines mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/580.Q.png
When may you cross a double solid white line in the middle of the road?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/581.Q.png
What does this road marking mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/582.Q.png
Where would you see this road marking?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/583.Q.png
Which diagram shows a hazard warning line?,
Why does this junction have a 'stop' sign and a stop line on the road?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/585.Q.png
What does this line across the road at the entrance to a roundabout mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/586.Q.png
How will a police officer in a patrol vehicle signal for you to stop?,
You're approaching a junction where the traffic lights aren't working. What should you do when a police officer gives this signal?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/588.Q.png
What does this arm signal mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/589.Q.png
What does this motorway sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/590.Q.png
What does this motorway sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/591.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/592.Q.png
What does '25' mean on this motorway sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/593.Q.png
How should the right-hand lane of a three-lane motorway be used?,
Where can you find reflective amber studs on a motorway?,
Where would you find green reflective studs on a motorway?,
What should you do when you see this sign as you travel along a motorway?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/597.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/598.Q.png
Which sign means that the national speed limit applies?,
What's the national speed limit on a single carriageway road?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/601.Q.png
What does this sign indicate?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/602.Q.png
What does this traffic sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/603.Q.png
What should you do when you see this sign at a crossroads?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/604.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/605.Q.png
You're on a motorway. A lorry has stopped in the right-hand lane. What should you do when you see this sign on the lorry?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/606.Q.png
You're on a motorway. What should you do if there's a red cross showing on the signs above your lane only?,
When may you sound your vehicle's horn?,
Your vehicle is stationary. When may you use its horn?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/610.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/611.Q.png
Which sign means you have priority over oncoming vehicles?,
What do the long white lines along the contre of the road mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/613.Q.png
What's the reason for the hatched area along the centre of this road?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/614.Q.png
Other drivers may sometimes flash their headlights at you. What's the official meaning of this signal?,
What does this signal mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/616.Q.png
Where would you find these road markings?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/617.Q.png
A police car if following you. What should you do if the police officer flashes the headlights and points to the left?,
"You see this amber traffic light ahead. Which light, or lights, will come on next?",https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/619.Q.png
What does it mean if you see this signal on the motorway?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/620.Q.png
What must you do when you see this sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/621.Q.png
Which shape is used for a 'give way' sign?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/623.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/624.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/625.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/626.Q.png
Which sign informs you that you're coming to a 'no through road'?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/628.Q.png
What should you do when you're approaching traffic lights that have red and amber showing together?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/629.Q.png
You've stopped at a railway level crossing. What should you do if the red lights continue to flash after a train has gone by?,
You're in a tunnel and you see this sign. What does it mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/631.Q.png
Which sign shows that you're entering a one-way system?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/633.Q.png
Which of these signs warns you of a zebra crossing?,
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/635.Q.png
Which sign means there will be two-way traffic crossing your route ahead?,
Which arm signal tells you that the car you're following is going to pull up?,
Which sign means turn left ahead?,
What should you be aware of if you've just passed this sign?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/639.Q.png
You're approaching traffic lights and the red light is showing. What signal will show next?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/640.Q.png
What does this sign mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/641.Q.png
What does the white line along the side of the road indicate?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/642.Q.png
What does this white arrow on the road mean?,https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/643.Q.png
How should you give an arms signal to turn left?,
"You've waiting at a T-junction. What should you do if a vehicle is coming from the right, with its left indicator flashing?",https://dts-resources.s3.ap-southeast-1.amazonaws.com/question-images/645.Q.png
When may you use hazard warning lights while you're driving?,
Why should you make sure that your indicators are cancelled after turning at a junction?,
You're driving in busy traffic. You want to pull up just after a junction on the left. When should you signal?,
For how long is an MOT certificate normally valid?,
What's a cover note?,
You've just passed your first practical driving test. What will you have to do if you get six penallty points on your licence in the next two years?,
For how long is a Statutory Off-Road Notification (SORN) valid?,
What's a Statutory Off-Road Notification (SORN) ?,
What's the maximum fine for driving or riding without insurance?,
Who's legally responsible for ensuring that a vehicle registration cartificate (V5C) is updated?,
Your insurer will issue you with an insurance certificate. When must you produce this document for inspection?,
When must your vehicle have valid insurance cover?,
What do you need before you can legally use a motor vehicle on the road?,
What must you have when you apply to renew your vehicle tax?,
A police officer asks to see your documents. You don't have them with you. How many days do you have to produce them at a police station?,
When should you update your vehicle registration certificate?,
What must you check before you drive someone else's vehicle?,
Your car needs to pass an MOT test. What may be invalidated if you drive the car without a current MOT certificate?,
What legal requirement must be met by a newly qualified driver?,
What's covered by third-party insurance?,
Who's responsible for paying the vehicle tax?,
What information is found on a vehicle registraation document?,
When must you contact the Driver and Vehicle Licensing Agancy (DVLA)?,
What circumstances require you to notify the Driver and Vehicle Licensing Agancy (DVLA)?,
When could the cost of your insurance be reduced?,
"In order to supervise a learner driver you need to have held a full driving licence for the same category of vehicle, for at least three years. What other requirement must you meet?",
Your care require an MOT certificate. When is it legal to drive it without an MOT certificate?,
When will a new car need its first MOT test?,
What does third-party insurance cover?,
What's the legal minimum insurance cover you must have to drive on public roads?,
What does it mean if your insurance policy has an excess of £500?,
When are you allowed to use hazard warning lights?,
What should you do if you have to stop while you're going through a congested tunnel?,
You arrive at the scene of a crash where someone is bleeding heavily from a wound in their arm. Nothing is embedded in the wound. What could you do to help?,
You're at an incident. What could you do to help an unconscious casualty?,
A casualty isn't breathing normally and needs CPR. At what rate should you press down and release on the centre of their chest?,
"Following a collision, a person has been injured. What would be a warning sign for shock?",
An injured person has been placed in the recovery position. They're unconscious but breathing normally. What else should be done?,
An injured motorcyclist is lying unconscious in the road. The traffic has stopped and there's no further danger. What could you do to help?,
What should you do if you see a large box fall from a lorry onto the motorway?,
You're going through a long tunnel. What will warn you of congestion or an incident ahead?,
"11. An adult casualty isn't breathing. To maintain circulation, CPR should be given. What's the correct depth to press down on their chest?",
You're the first person to arrive at an incident where people are badly injured. You've switched on your hazard warning lights and checked all engines are stopped. What else should you do?,
You arrive at the scene of a motorcycle crash. The rider is injured. When should their helmet be removed?,
You arrive at an incident. There's no danger from fire or further collisions and the emergency services have been called. What's your first priority when attending to an unconscious motorcyclist?,
"At an incident, someone is unconscious and you want to help. What would be the first thing to check?",
What could you do to help injured people at an incident?,
There's been a collision. How can you help a driver who's suffering from shock?,
"You arrive at the scene of a motorcycle crash. No other vehicle is involved. The rider is unconscious and lying in the middle of the road. What's the first thing you should do at the scene?
",
"At an incident, how could you help a small child who isn't breathing?",
"At an incident, a casualty isn't breathing. What should you do while helping them to start breathing again?",
"At an incident, someone is suffering from severe burns. How could you help them?",
You arrive at an incident. A pedestrian is bleeding heavily from a leg wound. The leg isn't broken and there's nothing in the wound. How could you help?,
"At an incident, a casualty is unconscious but breathing. When should you move them?",
"At an incident, it's important to look after any casualties. What should you do with them when the area is safe?",
Which sign shows that a tanker is carrying dangerous goods?,
Which document may the police ask you to produce after you've been involved in a collision?,
"After a collision, someone is unconscious in their vehicle. When should you call the emergency services?",
A collision has just happened. An injured person is lying in a busy road. What's the first thing you should do?,
"At an incident, how could you help a casualty who has stopped breathing?",
You're at the scene of an incident. How could you help someone who's suffering from shock?,
There's been a collision. A motorcyclist is lying injured and unconscious. Why should you only remove their helmet if it's essential?,
You're on a motorway. When can you use hazard warning lights?,
You've broken down on a two-way road. You have a warning triangle. At least how far from your vehicle should you place the warning triangle?,
Your car breaks down on a level crossing. What's the first thing you should do?,
What should you do if a tyre bursts while you're driving?,
What should you do if your vehicle has a puncture on a motorway?,
Your vehicle has stalled in the middle of a level crossing. What should you do if the warning bells start to ring while you're trying to restart the engine?,
What should you do before driving into a tunnel?,
Which lights should you use when you're driving in a tunnel?,
What should you do to reduce the risk of your vehicle catching fire?,
You're driving on the motorway. What should you do if luggage falls from your vehicle?,
What should you do if an instrument panel warning light comes on while you're driving?,
What should you do if your vehicle breaks down in a tunnel?,
What should you do if your vehicle catches fire while you're driving through a tunnel?,
What should you do first if your vehicle has broken down on an automatic railway level crossing?,
What's the first thing you must do if you have a collision while you're driving your car?,
What information should you share if you're involved in a collision that causes damage to another vehicle?,
You lose control of your car and damage a garden wall. What must you do if the property owner isn't available?,
What restrictions apply if you're towing a trailer on a three-lane motorway?,
What should you do if you're towing a trailer and it starts to swing from side to side?,
When would you increase the pressure in your tyres so that it's above the normal value?,
How will a heavy load on your roof rack affect your vehicle's handling?,
What would be affected if you carry a very heavy load on your vehicle?,
Who's responsible for making sure that a vehicle isn't overloaded?,
You're planning to tow a caravan. What will help the handling of the combination?,
Are passengers allowed to ride in a caravan that's being towed?,
What safety device must be fitted to a trailer braking system?,
You wish to tow a trailer. Where would you find the maximum noseweight for your vehicle's tow hitch?,
How should a load be carried on your roof rack?,
You're carrying a child under three years old in your car. Which restraint is suitable for a child of this age?,
